host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,high_demand,amenities_count,host_days_active,days_since_last_review,days_since_first_review,Wifi,Kitchen,Refrigerator,Air conditioning,Heating,Washer,Dryer,TV,Private entrance,Smoke alarm,Fire extinguisher,Iron,Shampoo,Dishwasher,Pool,Elevator,Breakfast,Pets allowed,Paid parking on premises,Free parking on premises,Bikes,property_category
within an hour,95-100%,0-49%,f,1,1,t,Zuid,Entire home/apt,3,2.0,2.0,2.0,5,365,5.0,30,60,90,365,10,0,0,4.9,5.0,4.7,5.0,5.0,5.0,4.9,f,1,1,0,0,0.39,0,19,3917,1-2 years,2-4 years,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.0,2.0,1.0,2,30,2.0,3,3,3,102,14,0,0,4.93,5.0,4.79,5.0,5.0,4.93,4.79,f,1,1,0,0,0.51,0,43,3420,1-2 years,2-4 years,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,Centrum-West,Entire home/apt,2,1.0,1.0,1.0,3,30,3.0,24,24,24,296,10,1,0,5.0,4.9,4.8,5.0,5.0,4.9,4.8,f,1,1,0,0,0.34,0,12,4316,6 months-1 year,2-4 years,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,2,2,t,Zuid,Entire home/apt,4,1.5,2.0,3.0,3,730,2.6,5,22,43,141,78,53,3,4.95,4.97,4.96,4.95,4.96,5.0,4.85,f,2,2,0,0,2.69,0,66,908,0-1 month,2-4 years,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,3,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,2.0,1.0,5,30,5.0,0,0,0,0,4,1,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,1,1,0,0,0.15,0,42,3800,6 months-1 year,2-4 years,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,3.0,1.0,3,30,3.1,0,0,0,0,5,0,0,4.8,4.8,4.4,5.0,5.0,5.0,4.4,f,1,1,0,0,0.18,0,28,4069,1-2 years,2-4 years,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,80-94%,70-89%,f,1,1,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,1.0,2.0,1.0,2,30,2.0,1,1,1,1,12,4,4,4.92,4.83,4.92,5.0,4.83,4.83,4.92,f,1,1,0,0,0.43,0,37,1227,0-1 month,2-4 years,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,80-94%,70-89%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,3,1.0,2.0,1.0,18,365,18.0,4,4,4,4,6,0,0,5.0,5.0,4.83,5.0,5.0,5.0,4.83,f,1,1,0,0,0.21,0,25,880,1-2 years,2-4 years,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within a day,95-100%,50-69%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,2.0,1.0,3,30,3.0,0,0,0,33,16,6,0,4.94,4.81,4.81,5.0,4.94,4.94,4.56,f,1,1,0,0,0.6,0,46,3312,1-6 months,2-4 years,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,Centrum-West,Entire home/apt,2,1.0,1.0,1.0,3,365,3.0,14,23,31,102,6,2,0,4.83,4.83,4.67,5.0,5.0,5.0,4.67,f,1,1,0,0,0.24,0,32,3818,1-6 months,2-4 years,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Centrum-Oost,Entire home/apt,4,1.5,2.0,2.0,2,365,2.0,4,22,43,135,97,69,4,4.98,4.85,4.99,4.98,4.99,4.98,4.82,t,1,1,0,0,5.69,0,32,1776,0-1 month,1-2 years,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,50-69%,f,1,2,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.5,2.0,2.0,4,365,2.9,0,2,23,23,14,6,0,4.93,5.0,5.0,5.0,5.0,4.86,4.79,f,1,1,0,0,0.49,0,37,3585,1-6 months,2-4 years,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a day,95-100%,90-100%,f,1,1,t,Buitenveldert - Zuidas,Entire home/apt,4,2.5,3.0,2.0,3,21,3.0,0,0,8,16,10,3,0,5.0,4.9,5.0,5.0,5.0,4.9,4.9,f,1,1,0,0,0.37,0,62,3225,1-6 months,2-4 years,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,luxury_apartments
a few days or more,0-49%,0-49%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,3,1.5,2.0,1.0,3,28,3.0,23,53,83,83,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,1,1,0,0,0.22,0,15,4919,1-6 months,0-1 year,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,1,t,Centrum-West,Private room,4,1.0,2.0,2.0,2,365,2.0,9,33,61,260,69,23,0,4.96,4.81,4.96,5.0,4.99,4.96,4.68,t,1,0,1,0,2.52,0,58,879,1-6 months,2-4 years,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,apartment
within a day,0-49%,0-49%,f,1,2,t,Osdorp,Shared room,2,1.0,1.0,1.0,1,365,1.0,23,53,83,353,0,0,0,4.92,4.92,4.87,4.97,5.0,4.88,4.7,f,1,0,0,1,0.45,0,10,3166,no reviews,no reviews,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,hostel
within a few hours,80-94%,0-49%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,2.0,2.0,1,365,11.2,10,24,54,266,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.15,0,53,3129,1-2 years,1-2 years,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Oud-Noord,Entire home/apt,2,1.0,1.0,1.0,3,28,3.0,0,0,0,0,9,0,0,4.89,5.0,4.33,5.0,5.0,4.44,4.56,f,1,1,0,0,0.35,0,52,3558,1-2 years,2-4 years,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,2.0,1.0,3,10,3.0,0,0,0,0,16,6,0,4.88,4.81,4.81,4.94,4.94,4.94,4.69,f,1,1,0,0,0.56,0,49,3174,1-6 months,2-4 years,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,3,t,Zuid,Entire home/apt,2,1.0,1.0,1.0,3,30,3.0,0,0,0,0,5,0,0,5.0,4.8,5.0,5.0,5.0,4.8,4.8,f,1,1,0,0,0.17,0,71,3457,1-2 years,2-4 years,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,luxury_apartments
within a day,95-100%,70-89%,f,1,3,t,Noord-West,Entire home/apt,4,2.5,3.0,3.0,5,365,5.0,0,0,0,231,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.07,0,16,4082,2-4 years,2-4 years,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,f,Zuid,Entire home/apt,2,1.0,1.0,1.0,2,25,2.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04,0,10,2252,2-4 years,2-4 years,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Centrum-West,Entire home/apt,2,1.5,1.0,1.0,2,20,2.0,28,58,88,363,6,3,0,4.33,4.5,4.33,4.17,5.0,5.0,4.0,f,1,1,0,0,0.3,0,20,3467,1-6 months,1-2 years,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,0-49%,f,1,1,t,Zuid,Entire home/apt,3,1.0,1.0,1.0,3,365,3.0,11,37,43,43,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,f,1,1,0,0,0.07,0,38,878,2-4 years,2-4 years,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,luxury_apartments
within a day,95-100%,0-49%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,3.0,1.0,2,30,2.0,0,0,0,0,9,0,0,4.67,4.67,4.67,5.0,4.89,4.67,4.44,f,1,1,0,0,0.31,0,63,3564,1-2 years,2-4 years,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,3,30,3.0,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,f,1,1,0,0,0.14,0,14,877,1-2 years,2-4 years,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Bos en Lommer,Entire home/apt,2,1.0,1.0,1.0,4,10,4.0,0,0,0,0,16,4,0,4.94,4.94,4.94,5.0,5.0,4.81,4.81,t,1,1,0,0,0.57,0,56,3468,6 months-1 year,2-4 years,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within a day,95-100%,0-49%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,10,20,9.9,0,0,22,90,12,4,0,5.0,4.92,4.83,4.83,4.83,5.0,4.83,f,1,1,0,0,0.42,0,31,3210,1-6 months,2-4 years,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,2,365,2.0,12,27,50,242,156,61,4,4.6,4.57,4.72,4.86,4.83,4.9,4.38,f,1,0,1,0,5.46,1,24,2780,0-1 month,2-4 years,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,apartment
a few days or more,0-49%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,4,30,4.0,0,0,0,0,3,0,0,5.0,5.0,4.67,5.0,5.0,5.0,4.67,f,1,1,0,0,0.11,0,44,3468,2-4 years,2-4 years,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,luxury_apartments
within a day,95-100%,50-69%,f,1,2,t,Westerpark,Entire home/apt,4,1.5,3.0,3.0,4,30,3.6,12,26,44,93,18,8,0,4.94,4.94,4.94,5.0,5.0,4.83,4.61,f,1,1,0,0,0.64,0,53,3997,1-6 months,2-4 years,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Oud-Oost,Entire home/apt,4,1.5,2.0,2.0,1,30,1.0,0,19,29,29,10,2,0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,f,1,1,0,0,0.58,0,63,3036,1-6 months,1-2 years,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,2,1.5,1.0,2.0,10,29,10.0,27,57,87,362,3,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.2,0,52,876,6 months-1 year,1-2 years,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,Gaasperdam - Driemond,Private room,2,1.0,1.0,1.0,2,45,2.0,25,55,83,173,99,45,0,4.63,4.6,4.64,4.73,4.82,4.57,4.33,t,1,0,1,0,4.55,0,29,875,1-6 months,1-2 years,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,apartment
within an hour,95-100%,70-89%,f,2,2,t,Bijlmer-Centrum,Private room,2,1.0,1.0,1.0,3,365,3.0,0,0,0,0,2,0,0,4.5,5.0,4.5,4.5,5.0,3.5,3.5,f,2,0,2,0,0.07,0,7,2724,2-4 years,2-4 years,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,apartment
within an hour,95-100%,90-100%,f,1,1,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,1.0,2.0,1.0,1,14,1.0,0,0,0,0,18,4,0,4.5,4.56,4.22,4.72,4.61,4.5,4.17,t,1,1,0,0,0.64,0,62,2026,1-6 months,2-4 years,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Oud-Oost,Entire home/apt,2,1.0,1.0,1.0,5,1125,5.0,5,35,65,340,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04,0,30,3861,1-2 years,1-2 years,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,f,Westerpark,Entire home/apt,3,1.0,2.0,1.0,5,30,5.0,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.07,0,49,3812,2-4 years,2-4 years,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,2.0,2.0,3,28,3.0,27,45,45,45,6,0,0,5.0,4.83,4.67,4.83,4.83,5.0,4.67,f,1,1,0,0,0.21,0,57,3017,1-2 years,2-4 years,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,De Pijp - Rivierenbuurt,Entire home/apt,4,2.0,2.0,2.0,10,90,10.0,0,4,28,28,5,2,0,5.0,5.0,5.0,4.8,5.0,5.0,4.8,f,1,1,0,0,0.18,0,37,4356,1-6 months,2-4 years,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,3,3,3.0,0,0,0,0,0,0,0,4.92,4.92,4.87,4.97,5.0,4.88,4.7,f,1,1,0,0,0.45,0,21,2343,no reviews,no reviews,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,2,2,t,Gaasperdam - Driemond,Private room,2,1.0,1.0,1.0,1,14,1.0,0,0,0,0,5,0,0,5.0,4.8,5.0,4.8,5.0,4.6,5.0,t,2,0,2,0,0.18,0,11,3459,2-4 years,2-4 years,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,apartment
within a few hours,95-100%,50-69%,f,1,1,t,Noord-West,Entire home/apt,2,1.5,1.0,1.0,6,20,3.0,0,29,59,69,12,5,0,4.67,4.83,4.5,4.67,4.92,4.25,4.25,f,1,1,0,0,0.43,0,44,3189,1-6 months,2-4 years,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,luxury_apartments
within a few hours,80-94%,50-69%,t,6,12,t,Centrum-Oost,Entire home/apt,2,1.0,1.0,1.0,2,2,2.0,0,0,0,0,4,0,0,4.75,4.75,4.75,4.75,4.75,4.75,4.5,f,2,2,0,0,0.14,0,22,1006,2-4 years,2-4 years,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,4,1.0,2.0,1.0,4,22,4.0,1,1,1,1,1,0,0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,f,1,1,0,0,0.04,0,41,1275,2-4 years,2-4 years,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,70-89%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.5,2.0,2.0,2,1125,5.0,6,9,9,12,12,4,0,5.0,5.0,5.0,5.0,5.0,5.0,4.58,f,1,1,0,0,0.44,0,56,3524,1-6 months,2-4 years,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,3.0,1.0,3,19,3.0,0,0,0,0,3,0,0,5.0,4.67,4.67,5.0,4.67,5.0,5.0,f,1,1,0,0,0.11,0,61,4469,2-4 years,2-4 years,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,2,2,t,Gaasperdam - Driemond,Private room,2,1.0,1.0,1.0,1,365,1.0,0,0,0,0,4,0,0,4.5,5.0,4.5,5.0,5.0,4.5,4.5,t,2,0,2,0,0.14,0,12,3459,2-4 years,2-4 years,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,apartment
within an hour,95-100%,90-100%,f,1,1,t,Oud-Noord,Entire home/apt,4,1.0,2.0,1.0,2,365,2.0,0,0,0,0,17,4,0,4.94,4.82,4.88,4.94,5.0,4.76,4.76,f,1,1,0,0,0.59,0,34,3456,6 months-1 year,2-4 years,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Oud-Noord,Entire home/apt,2,1.0,1.0,1.0,1,17,5.3,15,15,15,15,6,2,0,4.5,4.5,4.17,4.67,4.83,5.0,4.33,f,1,1,0,0,0.21,0,8,3240,1-6 months,2-4 years,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,luxury_apartments
within a day,95-100%,70-89%,f,1,1,t,Westerpark,Entire home/apt,2,1.0,1.0,1.0,4,10,4.0,2,3,3,223,17,7,0,4.59,4.53,4.65,4.76,4.71,4.76,4.47,f,1,1,0,0,0.6,0,18,3221,1-6 months,2-4 years,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,3,30,3.0,0,0,0,0,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.17,0,6,3340,2-4 years,2-4 years,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,4,365,4.0,13,25,25,25,7,2,0,4.86,5.0,5.0,4.71,5.0,4.86,4.86,f,1,1,0,0,0.27,0,35,3077,1-6 months,2-4 years,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,6,t,IJburg - Zeeburgereiland,Entire home/apt,2,1.0,1.0,1.0,2,10,2.0,0,0,0,0,13,2,0,5.0,4.92,4.92,5.0,5.0,4.85,4.85,t,1,1,0,0,0.46,0,37,4655,1-6 months,2-4 years,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,f,1,1,t,Bos en Lommer,Private room,1,1.5,1.0,2.0,3,4,3.0,0,0,0,87,18,5,0,4.89,4.83,5.0,4.89,5.0,4.89,4.67,f,1,0,1,0,0.63,0,18,2804,1-6 months,2-4 years,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,0-49%,f,1,6,t,Oud-Oost,Entire home/apt,4,2.0,3.0,4.0,3,30,3.0,29,59,89,364,6,3,0,5.0,4.83,4.67,5.0,5.0,5.0,4.67,f,1,1,0,0,0.21,0,59,4516,1-6 months,2-4 years,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,luxury_apartments
within a day,95-100%,50-69%,f,1,1,t,Bos en Lommer,Entire home/apt,2,1.0,1.0,1.0,5,14,5.0,6,13,13,78,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.25,0,43,3622,1-6 months,0-1 year,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,Oud-Oost,Entire home/apt,2,1.0,1.0,1.0,2,30,2.0,0,0,0,0,7,0,0,5.0,4.86,4.71,5.0,4.71,4.86,4.57,f,1,1,0,0,0.26,0,50,2679,1-2 years,2-4 years,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,50-79%,50-69%,f,1,4,t,Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,1.5,1.0,1.0,7,30,7.0,0,0,0,26,7,4,0,5.0,5.0,4.86,5.0,5.0,5.0,4.71,f,1,1,0,0,0.26,0,40,3763,1-6 months,2-4 years,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,De Pijp - Rivierenbuurt,Entire home/apt,2,1.0,1.0,1.0,3,30,3.0,20,50,80,355,20,7,0,5.0,5.0,4.95,5.0,5.0,4.85,4.75,f,1,1,0,0,0.73,0,18,3340,1-6 months,2-4 years,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,3.0,3.0,4,5,4.0,5,35,65,65,4,4,0,5.0,4.75,4.75,5.0,5.0,5.0,4.75,f,1,1,0,0,0.46,0,37,3269,6 months-1 year,0-1 year,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,luxury_apartments
within a day,95-100%,50-69%,f,1,3,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,2,20,2.0,0,4,4,4,14,5,0,5.0,5.0,5.0,4.93,5.0,4.79,4.64,f,1,1,0,0,0.51,0,27,4032,1-6 months,2-4 years,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,80-94%,70-89%,f,1,1,t,Gaasperdam - Driemond,Entire home/apt,4,2.0,4.0,4.0,6,365,2.0,11,11,18,35,10,4,0,5.0,5.0,4.9,5.0,4.9,5.0,4.8,f,1,1,0,0,0.35,0,41,870,1-6 months,2-4 years,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Geuzenveld - Slotermeer,Entire home/apt,2,1.0,1.0,1.0,2,1125,2.0,0,0,0,0,13,6,0,5.0,4.92,4.92,5.0,4.92,4.85,4.92,t,1,1,0,0,0.46,0,78,870,1-6 months,2-4 years,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,luxury_apartments
within a few hours,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,2,1125,2.0,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.15,0,41,1067,2-4 years,2-4 years,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within a day,95-100%,0-49%,f,1,1,t,IJburg - Zeeburgereiland,Entire home/apt,5,1.0,2.0,1.0,3,30,2.4,0,0,0,0,11,6,0,5.0,5.0,4.82,4.91,5.0,4.91,4.82,f,1,1,0,0,0.39,0,77,4310,1-6 months,2-4 years,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,luxury_apartments
within an hour,95-100%,0-49%,f,1,1,t,Bos en Lommer,Entire home/apt,2,1.0,1.0,1.0,5,18,5.0,0,0,0,0,2,2,0,5.0,4.5,5.0,4.5,4.5,5.0,4.5,f,1,1,0,0,0.21,0,30,3226,1-6 months,0-1 year,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,1,t,Bos en Lommer,Entire home/apt,4,1.0,2.0,2.0,5,7,5.0,0,25,55,145,4,1,0,5.0,4.75,4.75,5.0,5.0,4.75,4.5,f,1,1,0,0,0.15,0,33,2574,1-6 months,2-4 years,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,0-49%,f,1,1,t,Noord-West,Entire home/apt,4,1.0,3.0,3.0,2,6,2.0,3,3,3,3,6,1,1,4.67,4.33,4.5,4.83,4.83,4.33,4.33,f,1,1,0,0,0.22,0,15,3032,0-1 month,2-4 years,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Centrum-West,Entire home/apt,4,1.0,1.0,1.0,2,29,2.0,0,0,0,0,8,1,0,4.88,4.75,4.88,4.75,4.88,5.0,4.75,f,1,1,0,0,0.28,0,27,3092,1-6 months,2-4 years,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,50-69%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,2,1.0,1.0,1.0,4,10,4.0,0,0,0,0,10,3,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,f,1,1,0,0,0.35,0,43,2482,1-6 months,2-4 years,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,luxury_apartments
