host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,high_demand,amenities_count,host_days_active,days_since_last_review,days_since_first_review,Wifi,Kitchen,Refrigerator,Air conditioning,Heating,Washer,Dryer,TV,Private entrance,Smoke alarm,Fire extinguisher,Iron,Shampoo,Dishwasher,Pool,Elevator,Breakfast,Pets allowed,Paid parking on premises,Free parking on premises,Bikes,property_category
within an hour,95-100%,90-100%,t,1,1,t,De Pijp - Rivierenbuurt,Private room,2,1.0,1.0,1.0,1,30,1.0,18,48,78,121,263,78,3,4.79,4.84,4.68,4.84,4.87,4.9,4.57,t,1,0,1,0,1.62,1,27,4992,0-1 month,>10 years,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,standard_apartments
within an hour,95-100%,90-100%,t,2,2,t,Slotervaart,Private room,2,1.0,1.0,2.0,2,8,2.0,13,27,50,301,379,67,4,4.69,4.74,4.89,4.72,4.79,4.46,4.56,f,2,0,2,0,2.32,1,15,5234,0-1 month,>10 years,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,2,3,t,De Pijp - Rivierenbuurt,Entire home/apt,4,2.0,3.0,3.0,2,1125,2.0,0,0,0,83,109,6,0,4.73,4.79,4.67,4.94,4.88,4.82,4.59,f,1,1,0,0,0.69,1,54,4933,1-6 months,>10 years,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,2,t,Oud-Oost,Entire home/apt,3,1.0,1.0,1.0,3,15,3.0,0,0,0,0,21,0,0,4.76,4.76,4.81,4.81,4.86,4.33,4.52,f,1,1,0,0,0.13,0,32,4912,>4 years,>10 years,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,3,t,Noord-Oost,Entire home/apt,4,1.0,3.0,4.0,3,14,3.0,0,4,34,309,17,3,0,4.53,4.53,3.67,4.8,5.0,4.53,4.6,f,1,1,0,0,0.1,0,11,4909,1-6 months,>10 years,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,luxury_apartments
within an hour,95-100%,70-89%,f,4,4,t,Centrum-West,Private room,1,1.0,1.0,1.0,3,1124,3.0,0,0,0,0,278,0,0,4.59,4.66,4.77,4.77,4.71,4.96,4.4,f,4,0,4,0,1.73,1,23,5020,1-2 years,>10 years,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,standard_apartments
within an hour,95-100%,70-89%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,3,1.0,2.0,1.0,3,5,3.0,0,0,0,0,103,0,0,4.75,4.82,4.77,4.96,4.97,4.73,4.75,f,1,1,0,0,0.63,1,26,4896,>4 years,>10 years,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,2,2,t,De Pijp - Rivierenbuurt,Entire home/apt,3,2.0,2.0,2.0,10,60,10.0,19,49,79,231,36,3,0,4.56,4.74,4.44,4.82,4.85,4.71,4.36,f,2,1,1,0,0.22,0,48,4886,1-6 months,>10 years,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,3,t,De Baarsjes - Oud-West,Private room,2,1.0,1.0,1.0,1,15,2.1,12,33,57,57,446,48,2,4.66,4.71,4.81,4.85,4.88,4.52,4.49,f,1,0,1,0,2.76,1,29,4876,0-1 month,>10 years,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,apartment
within an hour,95-100%,90-100%,t,1,1,t,Centrum-West,Entire home/apt,4,1.0,1.0,3.0,2,1125,2.0,9,32,56,205,386,50,2,4.81,4.87,4.83,4.94,4.96,4.95,4.67,t,1,1,0,0,2.4,1,63,4875,0-1 month,>10 years,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,f,1,2,t,Zuid,Entire home/apt,3,1.0,2.0,2.0,4,28,4.0,6,6,6,6,14,1,0,4.5,4.57,4.21,4.43,4.71,4.5,4.5,f,1,1,0,0,0.09,0,32,4874,1-6 months,>10 years,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,2,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,3,31,3.0,2,32,56,72,713,28,0,4.97,4.97,4.98,4.99,4.98,4.95,4.88,t,1,0,1,0,4.42,1,36,4871,1-6 months,>10 years,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,standard_apartments
within an hour,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,2.0,1.0,4,365,4.0,0,0,0,0,23,1,0,4.73,4.74,4.48,4.96,5.0,4.87,4.52,f,1,1,0,0,0.14,0,29,4880,1-6 months,>10 years,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,3,4,t,De Pijp - Rivierenbuurt,Entire home/apt,4,1.0,3.0,1.0,4,65,4.0,0,0,0,0,23,0,0,4.83,4.86,4.26,4.96,5.0,4.87,4.65,f,1,1,0,0,0.14,0,35,4845,1-2 years,>10 years,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Centrum-West,Private room,3,1.0,1.0,1.0,3,50,3.0,0,0,0,0,169,0,0,4.82,4.87,4.77,4.88,4.84,4.89,4.74,f,1,0,1,0,1.06,1,21,4843,2-4 years,>10 years,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,1,2,f,Centrum-West,Private room,2,1.0,1.0,1.0,2,760,2.0,0,0,0,0,16,0,0,4.88,5.0,4.88,5.0,5.0,5.0,4.56,f,1,0,1,0,0.11,0,18,4838,2-4 years,>10 years,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,f,5,7,t,Centrum-West,Entire home/apt,4,1.5,2.0,3.0,2,180,2.9,9,24,47,289,243,41,4,4.87,4.92,4.92,4.9,4.92,4.97,4.7,t,1,1,0,0,1.58,1,59,4856,0-1 month,>10 years,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,standard_apartments
within a day,95-100%,90-100%,t,1,1,t,De Baarsjes - Oud-West,Private room,2,1.5,1.0,1.0,2,365,2.0,6,22,33,102,513,67,4,4.88,4.92,4.89,4.95,4.95,4.88,4.76,f,1,0,1,0,3.23,1,44,4801,0-1 month,>10 years,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,70-89%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.0,3.0,1.0,3,14,3.0,2,2,2,2,24,5,0,4.95,4.96,4.91,4.91,5.0,4.96,4.7,f,1,1,0,0,0.15,0,47,4795,1-6 months,>10 years,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,1,t,Centrum-West,Entire home/apt,2,1.0,1.0,1.0,2,1125,2.0,0,0,0,0,63,0,0,4.94,4.94,4.87,4.98,4.94,5.0,4.67,f,1,1,0,0,0.45,0,31,4791,2-4 years,>10 years,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,t,2,3,t,De Pijp - Rivierenbuurt,Private room,4,1.0,2.0,3.0,2,20,2.0,6,34,56,231,242,55,4,4.9,4.9,4.93,4.93,4.91,4.83,4.68,f,1,0,1,0,1.58,1,42,4789,0-1 month,>10 years,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,standard_apartments
within an hour,95-100%,90-100%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,3.0,1.0,5,30,5.0,0,0,0,0,9,1,0,4.67,4.56,4.67,4.78,4.89,4.78,4.56,f,1,1,0,0,0.06,0,48,4787,1-6 months,>10 years,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,70-89%,f,1,3,t,Zuid,Private room,2,1.0,1.0,1.0,3,30,3.0,0,0,0,0,113,0,0,4.83,4.83,4.86,4.98,4.95,4.69,4.66,f,1,0,1,0,0.73,1,17,4780,>4 years,>10 years,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within a few hours,95-100%,0-49%,f,1,1,t,Centrum-Oost,Entire home/apt,4,1.0,2.0,1.0,4,40,4.0,0,0,0,0,44,0,0,4.95,4.88,4.84,4.89,4.93,4.93,4.73,f,1,1,0,0,0.29,0,44,4763,1-2 years,>10 years,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within a few hours,95-100%,90-100%,f,1,1,t,Zuid,Entire home/apt,8,1.5,5.0,8.0,2,90,2.0,30,60,90,270,129,4,0,4.5,4.52,4.52,4.7,4.83,4.73,4.06,f,1,1,0,0,0.84,1,70,4758,1-6 months,>10 years,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,2,2,t,Centrum-West,Private room,2,1.0,1.0,1.0,3,365,3.0,4,5,9,171,392,26,4,4.91,4.96,4.92,4.94,4.92,4.92,4.81,t,2,0,2,0,2.51,1,36,4746,0-1 month,>10 years,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,90-100%,t,2,4,t,De Pijp - Rivierenbuurt,Private room,4,1.5,1.0,6.0,3,30,4.0,8,23,43,180,707,81,7,4.94,4.91,4.92,4.98,4.99,4.91,4.82,t,1,0,1,0,4.56,1,65,4695,0-1 month,>10 years,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,apartment
within an hour,95-100%,50-69%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,2.0,4.0,5.0,2,14,2.0,3,3,11,16,33,5,0,4.91,4.91,4.73,4.94,4.91,4.84,4.75,f,1,1,0,0,0.24,0,38,4692,1-6 months,>10 years,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,3,t,Oud-Oost,Private room,2,1.0,1.0,1.0,5,30,4.9,7,34,64,203,558,51,1,4.9,4.88,4.87,4.97,4.97,4.89,4.75,t,1,0,1,0,3.64,1,19,4682,0-1 month,>10 years,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,apartment
within an hour,95-100%,0-49%,f,1,1,t,De Baarsjes - Oud-West,Entire home/apt,4,1.0,4.0,1.0,3,1125,3.0,0,0,0,0,137,5,0,4.86,4.88,4.84,4.92,4.96,4.94,4.73,f,1,1,0,0,0.89,1,61,4668,1-6 months,>10 years,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,luxury_apartments
within an hour,95-100%,50-69%,f,1,7,t,Centrum-Oost,Entire home/apt,3,1.0,1.0,0.0,2,1125,2.0,20,22,52,142,111,9,0,4.57,4.64,4.24,4.58,4.79,4.55,4.33,f,1,1,0,0,0.72,1,11,4667,1-6 months,>10 years,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,luxury_apartments
within an hour,95-100%,90-100%,t,1,2,t,Centrum-Oost,Private room,2,1.0,1.0,1.0,3,60,3.0,17,47,77,352,540,40,3,4.77,4.84,4.77,4.87,4.9,4.92,4.67,f,1,0,1,0,3.5,1,44,4662,0-1 month,>10 years,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,apartment
